K%,PA,AVG,BB%,ISO,OBP,OPS,SLG,team,wOBA,wRC+,BABIP,OCon%,ZCon%,xwOBA,Chase%,SwStr%,Barrel%,HardHit%,player_name,Launch Angle
0.22,109,0.26,0.05,0.14,0.29,0.68,0.39,DET,0.3,86,0.31,,,0.31,,,,,Hao-Yu Lee,
0.15,109,0.3,0.11,0.15,0.38,0.82,0.44,PHI,0.36,131,0.34,,,0.33,,,,,Bryson Stott,
0.23,109,0.2,0.15,0.24,0.34,0.78,0.44,WSN,0.35,121,0.22,,,0.37,,,,,Andrés Chaparro,
0.19,109,0.28,0.06,0.07,0.34,0.69,0.35,PIT,0.31,95,0.34,,,0.29,,,,,Jake Mangum,
0.28,109,0.19,0.08,0.09,0.31,0.59,0.28,MIN,0.28,74,0.27,,,0.32,,,,,Victor Caratini,
0.28,108,0.28,0.09,0.17,0.34,0.79,0.45,SFG,0.35,121,0.36,,,0.35,,,,,Bryce Eldridge,
0.29,108,0.15,0.06,0.14,0.22,0.51,0.28,SEA,0.22,37,0.16,,,0.26,,,,,Rob Refsnyder,
0.23,108,0.24,0.08,0.18,0.31,0.73,0.42,TEX,0.32,102,0.29,,,0.31,,,,,Wyatt Langford,
0.26,107,0.3,0.05,0.18,0.32,0.8,0.48,COL,0.34,114,0.38,,,0.32,,,,,Cole Carrigg,
0.26,107,0.17,0.16,0.12,0.35,0.65,0.3,MIA,0.31,93,0.24,,,0.3,,,,,Jakob Marsee,
0.2,107,0.26,0.1,0.13,0.35,0.73,0.38,HOU,0.33,107,0.3,,,0.27,,,,,Jose Altuve,
0.17,106,0.21,0.16,0.05,0.36,0.62,0.26,SEA,0.3,86,0.25,,,0.32,,,,,J.P. Crawford,
0.21,106,0.25,0.08,0.2,0.32,0.77,0.45,MIN,0.33,111,0.29,,,0.32,,,,,Royce Lewis,
0.22,105,0.28,0.1,0.22,0.36,0.86,0.5,WSN,0.38,139,0.32,,,0.32,,,,,Dylan Crews,
0.19,104,0.26,0.12,0.28,0.35,0.89,0.54,BOS,0.38,144,0.28,,,0.3,,,,,Andruw Monasterio,
0.29,104,0.23,0.04,0.15,0.26,0.65,0.38,ATH,0.28,78,0.29,,,0.25,,,,,Colby Thomas,
0.25,104,0.19,0.12,0.19,0.29,0.67,0.38,CIN,0.3,86,0.2,,,0.35,,,,,JJ Bleday,
0.22,103,0.27,0.11,0.17,0.35,0.78,0.43,LAD,0.34,117,0.31,,,0.31,,,,,Teoscar Hernández,
0.26,103,0.21,0.11,0.16,0.29,0.66,0.37,PIT,0.29,83,0.25,,,0.3,,,,,Marcell Ozuna,
0.26,103,0.24,0.08,0.18,0.3,0.72,0.42,ATL,0.32,99,0.29,,,0.26,,,,,Eli White,
0.27,102,0.22,0.09,0.14,0.29,0.65,0.36,MIL,0.29,80,0.29,,,0.31,,,,,Christian Yelich,
0.11,102,0.36,0.15,0.23,0.46,1.05,0.59,MIL,0.45,190,0.4,,,0.34,,,,,Andrew Vaughn,
0.23,102,0.28,0.11,0.18,0.37,0.84,0.47,CIN,0.37,134,0.35,,,0.32,,,,,Dane Myers,
